Clima,CedulaCultivos,UsoSuelo,POP,YearPop,Prefix,Branch,Name,Topology,Variable,ObjectType,Year Filter, TimeStep Filter, TagFilter, Stat ,Value,CatchmentImpact,DiversionName
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_VillaProvidencia Runoff,Below R_VillaProvidencia Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.57150752961499,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoVP Outflow,Below RiegoVP Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.57019429352821,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Salahuayco Runoff,Below R_Salahuayco Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.57117822844916,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoSalahuayco Outflow,Below RiegoSalahuayco Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.5676115854874,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza9 Runoff,Below Tupiza9 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.58568584837435,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza10 River Inflow,Below Tupiza10 River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.62180166115348,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_PucaVinto Runoff,Below R_PucaVinto Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.62799935027183,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoPucaVinto Outflow,Below RiegoPucaVinto Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.62750559615617,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza11 Runoff,Below Tupiza11 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.67171202502051,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_VillaProvidencia Return,Below D_VillaProvidencia Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.67181729138277,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Okayoj River Inflow,Below Okayoj River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.70433845744694,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza12 Runoff,Below Tupiza12 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.72787012569173,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Oploca Return,Below D_Oploca Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.72803913888301,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below ChocayaMayu River Inflow,Below ChocayaMayu River Inflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.80346727413444,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_TorreChica Return,Below D_TorreChica Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.80350068309562,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below D_Gallego Return,Below D_Gallego Return,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.80353600273034,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below R_Calabozo Runoff,Below R_Calabozo Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.9900398634706,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below RiegoMR_TA Outflow,Below RiegoMR_TA Outflow,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.97168640786121,D_OroIngenio,
0,1,1,1,2021,Caudal-Media,Supply and Resources\River\Tupiza River\Reaches\Below Tupiza14 Runoff,Below Tupiza14 Runoff,Below D_OroIngenio Return,Streamflow[CMS],River Reach ,,,,Average,5.98442256947546,D_OroIngenio,
